rank,regionId,name,pixels,countryId
1,101820,Matsue #8,288511974,110
2,157869,Buenos Aires #3,287229256,10
3,139923,Lima #2,213697241,172
4,103367,Tokyo #1,196627092,110
5,156828,Santiago #7,190764355,44
6,247894,Punta Arenas #7223,188830886,44
7,116339,Mexico City #1,156836643,140
8,157870,Buenos Aires #4,154402736,10
9,133789,Leticia #29,153502788,48
10,248406,Punta Arenas #7271,146994986,44
11,116340,Iztapalapa #1,140408582,140
12,82230,Moscow #2,140288489,181
13,148670,São Paulo #1,136551816,31
14,90372,Paris #5,123471741,75
15,115607,Hanoi #1,116477339,242
16,127639,Bogotá #1,111969001,48
17,111730,Monterrey #1,108620683,140
18,116851,Tlalpan #1,103587718,140
19,106290,Jerusalem #1,98650776,107
20,162071,Cape Town #473,94685649,205
21,101813,Seoul #1,92023766,207
22,81718,Moscow #1,88973740,181
23,99067,Madrid #4,87086115,209
24,156315,Viña del Mar #5,83703805,44
25,120749,Antipolo #2,82722792,173
26,89860,Paris #4,77423118,75
27,106802,Jerusalem #2,76835093,107
28,102135,Sevilla #8,76537047,209
29,158382,La Plata #2,75955677,10
30,123288,Ho Chi Minh City #1,75008181,242
31,101624,Sevilla #6,74783159,209
32,159897,Talcahuano #512,73595246,44
33,116852,Puebla #1,72529055,140
34,126613,Medellín #9,72026418,48
35,86302,Warsaw #1,71618303,175
36,88364,Kyiv #8,71139202,232
37,98090,Istanbul #1,67973304,230
38,156330,Rosario #6,67580193,10
39,103161,Tétouan #1,65577819,147
40,143008,Oruro #3,65062248,26
41,116853,Puebla #2,64705052,140
42,98455,New York City #1,63403312,235
43,158381,Merlo #6,63131610,10
44,102149,Algiers #6,62874172,3
45,144039,Santa Cruz de la Sierra #25,62687570,26
46,155301,Córdoba #25,62158660,10
47,102648,Tangier #1,61149915,147
48,106074,Tijuana #4,60760053,140
49,131217,Quito #4,60429778,63
50,148669,Sorocaba #1,59676174,31
51,157357,Buenos Aires #1,59214374,10
52,148163,Rio de Janeiro #1,58991986,31
53,122774,Phnom Penh #4,58767893,38
54,157873,Montevideo #2,56797073,237
55,128660,Cali #4,56204216,48
56,114595,Shenzhen #2,56074563,45
57,103875,Nagoya #1,55948009,110
58,103744,Kirkuk #2,55816314,104
59,115309,Zapopan #6,55689861,140
60,118681,Huế #3,55428791,242
61,157340,Puente Alto #2,55099208,44
62,115310,Zapopan #7,54072763,140
63,98052,Barcelona #3,53475847,209
64,111218,Ciudad Apodaca #2,53113068,140
65,98555,Madrid #2,52917686,209
66,104290,Kabul #1,52915563,1
67,105280,Baghdad #2,52775740,104
68,106803,Jerusalem #3,52492784,107
69,156316,Santiago #5,51491839,44
70,139924,Huancayo #14,51470714,172
71,153784,Porto Alegre #2,49852080,31
72,88860,Kraków #3,49573408,175
73,97027,Terrassa #1,48388568,209
74,86836,Kursk #7,48131365,181
75,87296,London #2,47796465,234
76,156827,Viña del Mar #6,47195170,44
77,102136,Sevilla #9,46914824,209
78,103368,Chiba #1,46724802,110
79,115608,Haiphong #1,46559245,242
80,99987,Washington #2,46239488,235
81,150191,Asunción #11,45874976,171
82,88859,Katowice #2,45295438,175
83,91912,Dijon #8,45144329,75
84,87307,Köln #2,44833017,82
85,100647,İzmir #3,44711936,230
86,88325,Gent #3,44531557,21
87,139411,Lima #1,44481597,172
88,104385,Osaka #1,44276383,110
89,148162,Volta Redonda #1,43947982,31
90,115312,León de los Aldama #4,43436746,140
91,98051,Barcelona #2,43217118,209
92,145602,Belo Horizonte #1,43216993,31
93,115822,Tonalá #1,43179359,140
94,87818,Köln #4,43038761,82
95,153755,Coquimbo #160,42959649,44
96,103879,Yokohama #1,42954288,110
97,107314,Gaza #2,42593394,168
98,77082,Stockholm #6,42302115,214
99,87306,Köln #1,42187551,82
100,123529,San José #1,41982867,52
101,106801,Gaza #1,41720723,168
102,123286,Takeo #2,40992367,38
103,89861,Marne La Vallée #3,40926052,75
104,103232,Erbil #5,40864171,104
105,128148,Cali #2,40726831,48
106,76076,Saint Petersburg #18,40508026,181
107,127637,Ibagué #2,40254908,48
108,123799,Cần Thơ #1,40125601,242
109,139922,Callao #5,39496803,172
110,90382,Stuttgart #7,39328907,82
111,97540,Terrassa #4,39103481,209
112,97554,Rome #3,39085032,108
113,123289,Biên Hòa #3,38957299,242
114,82229,Zelenograd #4,38675852,181
115,87815,Brussels #2,38621097,21
116,105779,Irbid #1,38594761,112
117,127125,Pereira #1,38580756,48
118,99584,Valencia #6,38543014,209
119,99238,Beijing #1,38393224,45
120,104536,Los Angeles #1,38262072,235
121,96515,Andorra la Vella #1,38194030,5
122,158363,Talca #4,37940974,44
123,158385,Montevideo #5,37898546,237
124,105562,Tijuana #1,37881298,140
125,127127,Tunja #2,37724219,48
126,97412,Chicago #7,37629550,235
127,111729,Saltillo #4,37589352,140
128,142493,Puno #9,37568672,172
129,96008,Marseille #7,37534115,75
130,156829,Santiago #8,37474850,44
131,95499,Nice #2,36998398,75
132,148158,Campinas #2,36959048,31
133,94236,Anchorage #9956,36908636,235
134,102138,Málaga #3,36763507,209
135,113776,San Luis Potosí #1,36629115,140
136,155306,Santa Fe #16,36613161,10
137,90897,Munich #4,36612388,82
138,88861,Kraków #4,36438481,175
139,150202,Curitiba #1,36357477,31
140,132751,Guayaquil #4,36323824,63
141,148671,São José dos Campos #2,36256991,31
142,156319,Mendoza #4,36138510,10
143,101623,Sevilla #5,36130211,209
144,101301,Goyang-si #1,36098013,207
145,93447,Lyon #5,35587093,75
146,102332,Matsue #11,35168875,110
147,109422,Delhi #1,35161890,101
148,146119,Serra #3,34980605,31
149,159898,Chillán #2,34956293,44
150,157868,Merlo #2,34865154,10
151,116338,Morelia #4,34781161,140
152,143007,Oruro #2,34737411,26
153,115821,Zapopan #9,34632621,140
154,99578,Toledo #1,34558769,209
155,143519,Tacna #4,34456074,172
156,86303,Praga Południe #2,34334444,175
157,88326,Brussels #3,34318180,21
158,106601,Ciudad Juárez #9,34227787,140
159,112451,Riyadh #15,34196589,194
160,115825,Santiago de Querétaro #5,34059370,140
161,143003,Arequipa #14,33919843,172
162,148159,São José dos Campos #1,33915042,31
163,85780,Berlin #7,33798550,82
164,127638,Ibagué #3,33796650,48
165,114289,San Luis Potosí #3,33768745,140
166,90904,Vienna #4,33700693,14
167,149181,Sorocaba #2,33492669,31
168,89859,Paris #3,33328075,75
169,88845,Wiesbaden #6,33282662,82
170,123552,Valencia #2,33168803,241
171,149182,Santos #1,33101735,31
172,126101,Medellín #7,33069929,48
173,86791,Rotterdam #3,32963963,153
174,115826,Santiago de Querétaro #6,32798193,140
175,115827,Nicolás Romero #1,32756069,140
176,102649,Málaga #5,32737685,209
177,150195,Ciudad del Este #8,32680651,171
178,149156,Salta #5,32586458,10
179,103160,Tangier #3,32550888,147
180,99119,Ankara #4,32509725,230
181,102855,Ōta #1,32439094,110
182,91917,Zürich #4,32438071,215
183,127128,Tunja #3,32292748,48
184,157358,Buenos Aires #2,32221407,10
185,98602,Bursa #2,32055900,230
186,96110,Almaty #6,31967035,113
187,101154,Athens #9,31926233,85
188,157872,Montevideo #1,31807688,237
189,102287,Xining #9,31772681,45
190,81719,Elektrostal’ #1,31735435,181
191,100608,Alicante #1,31697296,209
192,115828,Pachuca de Soto #3,31645444,140
193,103880,Ichihara #1,31576870,110
194,102719,Erbil #2,31440846,104
195,84751,Hamburg #5,31368564,82
196,157656,Sydney #19,31321956,13
197,123030,Barranquilla #20,31154672,48
198,96009,Marseille #8,31152294,75
199,163993,Puerto Montt #11,30954965,44
200,91916,Zürich #3,30890307,215
201,103874,Kyoto #4,30852465,110
202,127640,Bogotá #2,30811115,48
203,156314,Valparaíso #55,30791880,44
204,123800,Vũng Tàu #1,30593246,242
205,115001,Jeddah #13,30592373,194
206,91915,Basel #2,30528684,215
207,104537,Anaheim #1,30507176,235
208,91902,Nantes #9,30501521,75
209,101459,San Jose #1,30488105,235
210,89865,Metz #3,30466017,75
211,123553,Petare #2,30348545,241
212,116162,Uruma #117,30337669,110
213,150203,Colombo #3,30330212,31
214,87819,Köln #5,30329551,82
215,103864,Busan #1,30318649,207
216,113537,Dhaka #1,30197228,18
217,98036,Porto #3,30187424,176
218,139410,Callao #2,30094773,172
219,161448,Bahía Blanca #22,30040491,10
220,86795,Münster #4,30001236,82
221,101119,Murcia #5,30000920,209
222,88853,Prague #5,29869272,57
223,105320,Rawalpindi #1,29729590,166
224,136911,Recife #1,29726652,31
225,151204,San Miguel de Tucumán #17,29694058,10
226,84264,Minsk #10,29680785,20
227,100595,Lisbon #3,29660137,176
228,114799,León de los Aldama #1,29656491,140
229,38595,Ilulissat #2241,29599241,86
230,95995,Santander #9,29591492,209
231,93961,Genève #9,29509967,215
232,93959,Lyon #6,29476517,75
233,90884,Paris #6,29353247,75
234,136848,Trujillo #7,29297937,172
235,151739,Florianópolis #5,29284940,31
236,90878,Rennes #6,29218690,75
237,89353,Metz #1,29201204,75
238,105206,Casablanca #9,29119559,147
239,95996,Bilbao #9,28992646,209
240,87314,Halle (Saale) #5,28971370,82
241,88327,Brussels #4,28910289,21
242,131726,Portoviejo #1,28891398,63
243,104695,Rabat #1,28807632,147
244,132239,Guayaquil #2,28500631,63
245,94748,Anchorage #9988,28500464,235
246,90371,Saint-Quentin-en-Yvelines #1,28478638,75
247,86292,Berlin #10,28466404,82
248,144034,Cochabamba #6,28416663,26
249,159896,Talcahuano #511,28395225,44
250,89868,Karlsruhe #4,28378958,82
251,94471,Saint-Étienne #3,28357982,75
252,116856,Veracruz #18,28346663,140
253,90377,Nancy #1,28305526,75
254,87817,Köln #3,28263893,82
255,93448,Genève #6,28092423,215
256,86812,Łódź #6,28084799,175
257,175276,Stanley #309,28042906,71
258,87812,Lille #2,27897946,75
259,119934,Quetzaltenango #1,27869101,90
260,121231,Bangkok #1,27849842,220
261,143520,Oruro #5,27829991,26
262,157851,Rancagua #1,27806666,44
263,89869,Stuttgart #3,27786649,82
264,156331,Rosario #7,27773084,10
265,88324,Lille #3,27754672,75
266,116119,Thanh Hóa #2,27717990,242
267,154789,Córdoba #18,27645566,10
268,116120,Haiphong #2,27606377,242
