rank,regionId,name,pixels,countryId
1,101820,Matsue #8,292182540,110
2,157869,Buenos Aires #3,287891323,10
3,139923,Lima #2,214024905,172
4,103367,Tokyo #1,197762534,110
5,156828,Santiago #7,190959055,44
6,247894,Punta Arenas #7223,189900313,44
7,116339,Mexico City #1,157485538,140
8,157870,Buenos Aires #4,154794062,10
9,133789,Leticia #29,153761026,48
10,248406,Punta Arenas #7271,149075112,44
11,82230,Moscow #2,140995587,181
12,116340,Iztapalapa #1,140926865,140
13,148670,São Paulo #1,137148730,31
14,90372,Paris #5,125103689,75
15,115607,Hanoi #1,116866361,242
16,127639,Bogotá #1,112151842,48
17,111730,Monterrey #1,108851211,140
18,116851,Tlalpan #1,104071822,140
19,106290,Jerusalem #1,98970198,107
20,162071,Cape Town #473,94871828,205
21,101813,Seoul #1,92374001,207
22,81718,Moscow #1,89276037,181
23,99067,Madrid #4,87789925,209
24,156315,Viña del Mar #5,84034395,44
25,120749,Antipolo #2,82987965,173
26,89860,Paris #4,78292248,75
27,106802,Jerusalem #2,77101406,107
28,102135,Sevilla #8,76797021,209
29,158382,La Plata #2,76553559,10
30,123288,Ho Chi Minh City #1,75274881,242
31,101624,Sevilla #6,75106245,209
32,159897,Talcahuano #512,73749681,44
33,116852,Puebla #1,72785054,140
34,126613,Medellín #9,72256878,48
35,86302,Warsaw #1,72216842,175
36,88364,Kyiv #8,71587700,232
37,98090,Istanbul #1,68751443,230
38,156330,Rosario #6,67903748,10
39,103161,Tétouan #1,66362208,147
40,143008,Oruro #3,65217303,26
41,116853,Puebla #2,65194234,140
42,98455,New York City #1,63651462,235
43,158381,Merlo #6,63374960,10
44,102149,Algiers #6,63007815,3
45,144039,Santa Cruz de la Sierra #25,62777531,26
46,155301,Córdoba #25,62716199,10
47,106074,Tijuana #4,61559872,140
48,102648,Tangier #1,61461697,147
49,131217,Quito #4,60626193,63
50,157357,Buenos Aires #1,59801782,10
51,148669,Sorocaba #1,59721862,31
52,148163,Rio de Janeiro #1,59067021,31
53,122774,Phnom Penh #4,58883184,38
54,157873,Montevideo #2,56851382,237
55,103744,Kirkuk #2,56568883,104
56,128660,Cali #4,56409619,48
57,114595,Shenzhen #2,56353844,45
58,103875,Nagoya #1,56090469,110
59,115309,Zapopan #6,55744168,140
60,118681,Huế #3,55611686,242
61,157340,Puente Alto #2,55191474,44
62,104290,Kabul #1,55126077,1
63,115310,Zapopan #7,54404510,140
64,98555,Madrid #2,54046013,209
65,98052,Barcelona #3,53947682,209
66,111218,Ciudad Apodaca #2,53287462,140
67,105280,Baghdad #2,52953143,104
68,106803,Jerusalem #3,52569644,107
69,156316,Santiago #5,51906129,44
70,139924,Huancayo #14,51869260,172
71,88860,Kraków #3,50092998,175
72,153784,Porto Alegre #2,49959587,31
73,97027,Terrassa #1,48812702,209
74,86836,Kursk #7,48440188,181
75,87296,London #2,48205462,234
76,156827,Viña del Mar #6,47617500,44
77,102136,Sevilla #9,47259643,209
78,103368,Chiba #1,47142272,110
79,115608,Haiphong #1,46841134,242
80,99987,Washington #2,46484605,235
81,150191,Asunción #11,46017005,171
82,88859,Katowice #2,45748423,175
83,91912,Dijon #8,45280089,75
84,87307,Köln #2,45065187,82
85,100647,İzmir #3,45033860,230
86,88325,Gent #3,44693418,21
87,104385,Osaka #1,44543945,110
88,139411,Lima #1,44537208,172
89,148162,Volta Redonda #1,43976853,31
90,98051,Barcelona #2,43971245,209
91,115312,León de los Aldama #4,43710174,140
92,115822,Tonalá #1,43421838,140
93,87818,Köln #4,43390919,82
94,103879,Yokohama #1,43293837,110
95,145602,Belo Horizonte #1,43242115,31
96,153755,Coquimbo #160,43197795,44
97,107314,Gaza #2,42800836,168
98,87306,Köln #1,42536027,82
99,77082,Stockholm #6,42403171,214
100,123529,San José #1,42303398,52
101,103232,Erbil #5,41870390,104
102,106801,Gaza #1,41846490,168
103,89861,Marne La Vallée #3,41204248,75
104,123286,Takeo #2,41069281,38
105,128148,Cali #2,40894981,48
106,76076,Saint Petersburg #18,40671002,181
107,127637,Ibagué #2,40560371,48
108,123799,Cần Thơ #1,40178702,242
