rank,regionId,name,pixels,countryId
1,157869,Buenos Aires #3,285672614,10
2,101820,Matsue #8,283204333,110
3,139923,Lima #2,213290920,172
4,103367,Tokyo #1,195600075,110
5,156828,Santiago #7,190456148,44
6,247894,Punta Arenas #7223,187419720,44
7,116339,Mexico City #1,156403494,140
8,157870,Buenos Aires #4,153700783,10
9,133789,Leticia #29,153333469,48
10,248406,Punta Arenas #7271,143707899,44
11,116340,Iztapalapa #1,139926580,140
12,82230,Moscow #2,139553369,181
13,148670,São Paulo #1,135530838,31
14,90372,Paris #5,122171804,75
15,115607,Hanoi #1,116131849,242
16,127639,Bogotá #1,111791757,48
17,111730,Monterrey #1,108412509,140
18,116851,Tlalpan #1,103067925,140
19,106290,Jerusalem #1,98233466,107
20,162071,Cape Town #473,94506059,205
21,101813,Seoul #1,91701103,207
22,81718,Moscow #1,88700527,181
23,99067,Madrid #4,86358060,209
24,156315,Viña del Mar #5,83457594,44
25,120749,Antipolo #2,82433176,173
26,89860,Paris #4,76638986,75
27,106802,Jerusalem #2,76516876,107
28,102135,Sevilla #8,76317189,209
29,158382,La Plata #2,75478202,10
30,123288,Ho Chi Minh City #1,74633111,242
31,101624,Sevilla #6,74441982,209
32,159897,Talcahuano #512,73403075,44
33,116852,Puebla #1,72304435,140
34,126613,Medellín #9,71833094,48
35,86302,Warsaw #1,71152736,175
36,88364,Kyiv #8,70600397,232
37,156330,Rosario #6,67379195,10
38,98090,Istanbul #1,66999297,230
39,103161,Tétouan #1,64988865,147
40,143008,Oruro #3,64951284,26
41,116853,Puebla #2,64329372,140
42,98455,New York City #1,63080157,235
43,102149,Algiers #6,62750743,3
44,158381,Merlo #6,62656987,10
45,144039,Santa Cruz de la Sierra #25,62608963,26
46,155301,Córdoba #25,61554549,10
47,102648,Tangier #1,60930862,147
48,131217,Quito #4,60161950,63
49,106074,Tijuana #4,60023870,140
50,148669,Sorocaba #1,59580928,31
51,148163,Rio de Janeiro #1,58944624,31
52,157357,Buenos Aires #1,58698800,10
53,122774,Phnom Penh #4,58631274,38
54,157873,Montevideo #2,56700451,237
55,128660,Cali #4,55943180,48
56,114595,Shenzhen #2,55835871,45
57,103875,Nagoya #1,55802118,110
58,115309,Zapopan #6,55580744,140
59,118681,Huế #3,55194692,242
60,157340,Puente Alto #2,55030843,44
61,103744,Kirkuk #2,55000859,104
62,115310,Zapopan #7,53732969,140
63,111218,Ciudad Apodaca #2,52936254,140
64,98052,Barcelona #3,52920324,209
65,105280,Baghdad #2,52566960,104
66,106803,Jerusalem #3,52394039,107
67,98555,Madrid #2,52017561,209
68,139924,Huancayo #14,51075876,172
69,156316,Santiago #5,51038986,44
70,104290,Kabul #1,50573625,1
71,153784,Porto Alegre #2,49683782,31
72,88860,Kraków #3,49136516,175
73,97027,Terrassa #1,47960374,209
74,86836,Kursk #7,47793546,181
75,87296,London #2,47566994,234
76,156827,Viña del Mar #6,46581641,44
77,102136,Sevilla #9,46543124,209
78,103368,Chiba #1,46295525,110
79,115608,Haiphong #1,46288735,242
80,99987,Washington #2,45942723,235
81,150191,Asunción #11,45726489,171
82,91912,Dijon #8,44875430,75
83,88859,Katowice #2,44857603,175
84,87307,Köln #2,44647557,82
85,139411,Lima #1,44420856,172
86,88325,Gent #3,44346891,21
87,100647,İzmir #3,44311498,230
88,104385,Osaka #1,44046364,110
89,148162,Volta Redonda #1,43902751,31
90,115312,León de los Aldama #4,43182751,140
91,145602,Belo Horizonte #1,43144818,31
92,153755,Coquimbo #160,42808577,44
93,115822,Tonalá #1,42768339,140
94,87818,Köln #4,42658581,82
95,98051,Barcelona #2,42610272,209
96,103879,Yokohama #1,42608219,110
97,107314,Gaza #2,42398624,168
98,77082,Stockholm #6,42110777,214
99,87306,Köln #1,41881104,82
100,123529,San José #1,41820380,52
101,106801,Gaza #1,41611439,168
102,123286,Takeo #2,40903245,38
103,89861,Marne La Vallée #3,40646192,75
104,128148,Cali #2,40504747,48
105,76076,Saint Petersburg #18,40354567,181
106,123799,Cần Thơ #1,40080158,242
107,127637,Ibagué #2,39958390,48
108,103232,Erbil #5,39855228,104
109,139922,Callao #5,39383473,172
110,90382,Stuttgart #7,39132731,82
111,97540,Terrassa #4,38904392,209
112,97554,Rome #3,38836126,108
113,123289,Biên Hòa #3,38773707,242
114,82229,Zelenograd #4,38432391,181
115,87815,Brussels #2,38430062,21
116,105779,Irbid #1,38429770,112
117,127125,Pereira #1,38399203,48
118,99238,Beijing #1,38312624,45
119,99584,Valencia #6,38260151,209
120,96515,Andorra la Vella #1,38119223,5
121,104536,Los Angeles #1,38062884,235
122,158363,Talca #4,37740631,44
123,105562,Tijuana #1,37509123,140
124,158385,Montevideo #5,37502994,237
125,142493,Puno #9,37464429,172
126,127127,Tunja #2,37458097,48
127,111729,Saltillo #4,37442091,140
