rank,regionId,name,pixels,countryId
1,157869,Buenos Aires #3,276425331,10
2,101820,Matsue #8,256452027,110
3,139923,Lima #2,210823935,172
4,103367,Tokyo #1,189491257,110
5,156828,Santiago #7,188549276,44
6,116339,Mexico City #1,151266549,140
7,133789,Leticia #29,150713277,48
8,157870,Buenos Aires #4,146975672,10
9,116340,Iztapalapa #1,137387094,140
10,82230,Moscow #2,135215394,181
11,148670,São Paulo #1,128309532,31
12,90372,Paris #5,115147783,75
13,115607,Hanoi #1,113852734,242
14,127639,Bogotá #1,110451878,48
15,111730,Monterrey #1,107105574,140
16,116851,Tlalpan #1,100087038,140
17,106290,Jerusalem #1,96003920,107
18,162071,Cape Town #473,92572812,205
19,101813,Seoul #1,89730726,207
20,81718,Moscow #1,86475939,181
21,99067,Madrid #4,83696936,209
22,156315,Viña del Mar #5,81921291,44
23,120749,Antipolo #2,80408591,173
24,102135,Sevilla #8,75602526,209
25,106802,Jerusalem #2,75342121,107
26,158382,La Plata #2,73861281,10
27,123288,Ho Chi Minh City #1,73205152,242
28,89860,Paris #4,72954391,75
29,159897,Talcahuano #512,72196925,44
30,101624,Sevilla #6,72088607,209
31,116852,Puebla #1,70782655,140
32,126613,Medellín #9,70712477,48
33,88364,Kyiv #8,67448394,232
34,86302,Warsaw #1,67423040,175
35,156330,Rosario #6,66033878,10
36,143008,Oruro #3,64390095,26
37,116853,Puebla #2,62438913,140
38,102149,Algiers #6,61968318,3
39,98455,New York City #1,61671430,235
40,144039,Santa Cruz de la Sierra #25,61669276,26
41,98090,Istanbul #1,61082911,230
42,102648,Tangier #1,59554481,147
43,158381,Merlo #6,59550433,10
44,148163,Rio de Janeiro #1,58400819,31
45,122774,Phnom Penh #4,58259021,38
46,131217,Quito #4,58042387,63
47,148669,Sorocaba #1,57963039,31
48,155301,Córdoba #25,57647787,10
49,103161,Tétouan #1,57402686,147
50,157357,Buenos Aires #1,56654906,10
51,157873,Montevideo #2,56255431,237
52,106074,Tijuana #4,55468684,140
53,128660,Cali #4,55060619,48
54,115309,Zapopan #6,54917909,140
55,157340,Puente Alto #2,54547308,44
56,118681,Huế #3,54369028,242
57,103875,Nagoya #1,54133406,110
58,114595,Shenzhen #2,54107554,45
59,115310,Zapopan #7,52079602,140
60,106803,Jerusalem #3,51730736,107
61,105280,Baghdad #2,51727227,104
62,111218,Ciudad Apodaca #2,51094727,140
63,103744,Kirkuk #2,50998736,104
64,156316,Santiago #5,49503912,44
65,98052,Barcelona #3,49427451,209
66,153784,Porto Alegre #2,49228999,31
67,98555,Madrid #2,49224450,209
68,139924,Huancayo #14,47198248,172
69,88860,Kraków #3,46599900,175
70,97027,Terrassa #1,46226927,209
71,87296,London #2,46038360,234
72,86836,Kursk #7,46032290,181
73,102136,Sevilla #9,45442985,209
74,150191,Asunción #11,45111183,171
75,115608,Haiphong #1,45001455,242
76,99987,Washington #2,44605234,235
77,139411,Lima #1,44263520,172
78,103368,Chiba #1,43730043,110
79,148162,Volta Redonda #1,43627086,31
