rank,regionId,name,pixels,countryId
1,157869,Buenos Aires #3,277917879,10
2,101820,Matsue #8,259644392,110
3,139923,Lima #2,211149010,172
4,103367,Tokyo #1,190621409,110
5,156828,Santiago #7,188932086,44
6,116339,Mexico City #1,152291825,140
7,133789,Leticia #29,151388871,48
8,157870,Buenos Aires #4,147642657,10
9,116340,Iztapalapa #1,137968056,140
10,82230,Moscow #2,135959236,181
11,148670,São Paulo #1,129649088,31
12,90372,Paris #5,115926188,75
13,115607,Hanoi #1,114263463,242
14,127639,Bogotá #1,110724620,48
15,111730,Monterrey #1,107360916,140
16,116851,Tlalpan #1,100666557,140
17,106290,Jerusalem #1,96402639,107
18,162071,Cape Town #473,93357139,205
19,101813,Seoul #1,90053229,207
20,81718,Moscow #1,87038419,181
21,99067,Madrid #4,84012556,209
22,156315,Viña del Mar #5,82134351,44
23,120749,Antipolo #2,80731734,173
24,102135,Sevilla #8,75733034,209
25,106802,Jerusalem #2,75500182,107
26,158382,La Plata #2,74247597,10
27,123288,Ho Chi Minh City #1,73413319,242
28,89860,Paris #4,73388237,75
29,159897,Talcahuano #512,72513825,44
30,101624,Sevilla #6,72494975,209
31,116852,Puebla #1,71093060,140
32,126613,Medellín #9,70942516,48
33,86302,Warsaw #1,68172919,175
34,88364,Kyiv #8,67894468,232
35,156330,Rosario #6,66251821,10
36,143008,Oruro #3,64484574,26
37,116853,Puebla #2,62746517,140
38,102149,Algiers #6,62129513,3
39,98455,New York City #1,61935501,235
40,98090,Istanbul #1,61923876,230
41,144039,Santa Cruz de la Sierra #25,61782503,26
42,158381,Merlo #6,60023174,10
43,102648,Tangier #1,59769387,147
44,148163,Rio de Janeiro #1,58460844,31
45,155301,Córdoba #25,58430986,10
46,148669,Sorocaba #1,58403711,31
47,122774,Phnom Penh #4,58328258,38
48,131217,Quito #4,58308473,63
49,103161,Tétouan #1,58020977,147
50,157357,Buenos Aires #1,56929162,10
51,106074,Tijuana #4,56400928,140
52,157873,Montevideo #2,56306442,237
53,128660,Cali #4,55240773,48
54,115309,Zapopan #6,55009594,140
55,157340,Puente Alto #2,54602158,44
56,118681,Huế #3,54491822,242
57,103875,Nagoya #1,54489041,110
