rank,regionId,name,pixels,countryId
1,157869,Buenos Aires #3,274637721,10
2,101820,Matsue #8,254004646,110
3,139923,Lima #2,210546866,172
4,103367,Tokyo #1,188282917,110
5,156828,Santiago #7,188199437,44
6,116339,Mexico City #1,150387051,140
7,133789,Leticia #29,150099243,48
8,157870,Buenos Aires #4,146602406,10
9,116340,Iztapalapa #1,136736248,140
10,82230,Moscow #2,134704712,181
11,148670,São Paulo #1,127007583,31
12,90372,Paris #5,114569933,75
13,115607,Hanoi #1,113409735,242
14,127639,Bogotá #1,110120468,48
15,111730,Monterrey #1,106854744,140
16,116851,Tlalpan #1,99484271,140
17,106290,Jerusalem #1,95607514,107
18,162071,Cape Town #473,91577695,205
19,101813,Seoul #1,89490545,207
20,81718,Moscow #1,86010673,181
21,99067,Madrid #4,83336025,209
22,156315,Viña del Mar #5,81693254,44
23,120749,Antipolo #2,80090934,173
24,102135,Sevilla #8,75488480,209
25,106802,Jerusalem #2,75147461,107
26,158382,La Plata #2,73452775,10
27,123288,Ho Chi Minh City #1,73015899,242
28,89860,Paris #4,72494449,75
29,159897,Talcahuano #512,71896609,44
30,101624,Sevilla #6,71720591,209
31,126613,Medellín #9,70480295,48
32,116852,Puebla #1,70459558,140
33,88364,Kyiv #8,66938607,232
34,86302,Warsaw #1,66900319,175
35,156330,Rosario #6,65824144,10
36,143008,Oruro #3,64273108,26
37,116853,Puebla #2,62042008,140
38,102149,Algiers #6,61722066,3
39,144039,Santa Cruz de la Sierra #25,61602700,26
40,98455,New York City #1,61449364,235
41,98090,Istanbul #1,60276170,230
42,102648,Tangier #1,59343511,147
43,158381,Merlo #6,59106836,10
44,148163,Rio de Janeiro #1,58308572,31
45,122774,Phnom Penh #4,58218551,38
46,131217,Quito #4,57778957,63
47,148669,Sorocaba #1,57503565,31
48,103161,Tétouan #1,57094383,147
49,155301,Córdoba #25,57038008,10
50,157357,Buenos Aires #1,56394284,10
51,157873,Montevideo #2,56178162,237
52,128660,Cali #4,54880791,48
53,115309,Zapopan #6,54778265,140
54,106074,Tijuana #4,54487330,140
55,157340,Puente Alto #2,54458441,44
56,118681,Huế #3,54212101,242
57,114595,Shenzhen #2,53864343,45
58,103875,Nagoya #1,53827762,110
59,115310,Zapopan #7,51887816,140
60,106803,Jerusalem #3,51607312,107
61,105280,Baghdad #2,51600331,104
62,111218,Ciudad Apodaca #2,50823218,140
63,103744,Kirkuk #2,50384797,104
64,156316,Santiago #5,49156787,44
65,153784,Porto Alegre #2,49117802,31
66,98052,Barcelona #3,48956587,209
67,98555,Madrid #2,48866100,209
68,139924,Huancayo #14,46672988,172
69,97027,Terrassa #1,46051882,209
70,88860,Kraków #3,45916997,175
71,87296,London #2,45823311,234
72,86836,Kursk #7,45783941,181
73,102136,Sevilla #9,45328175,209
74,150191,Asunción #11,44992438,171
75,115608,Haiphong #1,44841330,242
76,99987,Washington #2,44266102,235
77,139411,Lima #1,44249130,172
78,148162,Volta Redonda #1,43579959,31
79,103368,Chiba #1,43405470,110
80,91912,Dijon #8,43355896,75
81,88325,Gent #3,43049839,21
82,156827,Viña del Mar #6,42798032,44
83,87307,Köln #2,42389338,82
84,104385,Osaka #1,42080423,110
85,145602,Belo Horizonte #1,41966398,31
86,100647,İzmir #3,41583742,230
87,115312,León de los Aldama #4,41505059,140
88,88859,Katowice #2,41479086,175
89,77082,Stockholm #6,41161136,214
90,106801,Gaza #1,40910073,168
91,123529,San José #1,40871925,52
92,107314,Gaza #2,40518298,168
93,153755,Coquimbo #160,40375568,44
94,87818,Köln #4,40358541,82
95,123286,Takeo #2,40271424,38
96,103879,Yokohama #1,40225807,110
97,87306,Köln #1,40114332,82
98,89861,Marne La Vallée #3,39721074,75
99,115822,Tonalá #1,39527764,140
100,123799,Cần Thơ #1,39326732,242
101,128148,Cali #2,39102805,48
102,76076,Saint Petersburg #18,39051667,181
103,98051,Barcelona #2,38419690,209
104,139922,Callao #5,38278006,172
105,127637,Ibagué #2,37764390,48
106,96515,Andorra la Vella #1,37709391,5
107,123289,Biên Hòa #3,37702158,242
108,90382,Stuttgart #7,37576787,82
109,97540,Terrassa #4,37428980,209
110,105779,Irbid #1,37282528,112
111,156829,Santiago #8,37120541,44
112,99238,Beijing #1,37066537,45
113,99584,Valencia #6,37043161,209
114,127125,Pereira #1,36955893,48
115,97554,Rome #3,36780419,108
116,104536,Los Angeles #1,36752026,235
117,82229,Zelenograd #4,36696482,181
118,87815,Brussels #2,36659429,21
119,158363,Talca #4,36427948,44
120,127127,Tunja #2,36141076,48
121,111729,Saltillo #4,36050477,140
122,95499,Nice #2,36034948,75
123,158385,Montevideo #5,35965576,237
124,155306,Santa Fe #16,35958945,10
125,148158,Campinas #2,35929322,31
126,142493,Puno #9,35655654,172
127,113776,San Luis Potosí #1,35377022,140
128,156319,Mendoza #4,35281852,10
129,150202,Curitiba #1,35276882,31
130,97412,Chicago #7,35275804,235
131,101623,Sevilla #5,35232426,209
132,132751,Guayaquil #4,35068520,63
133,105562,Tijuana #1,34944363,140
134,90897,Munich #4,34635245,82
135,93447,Lyon #5,34207449,75
136,96008,Marseille #7,34025960,75
137,143007,Oruro #2,33849623,26
138,88861,Kraków #4,33804558,175
139,159898,Chillán #2,33781935,44
140,99578,Toledo #1,33686420,209
141,148671,São José dos Campos #2,33575538,31
142,101301,Goyang-si #1,33383795,207
143,102138,Málaga #3,33324193,209
144,109422,Delhi #1,33303551,101
145,143003,Arequipa #14,33169732,172
146,88326,Brussels #3,33143148,21
147,157868,Merlo #2,33104527,10
148,112451,Riyadh #15,32946577,194
149,104290,Kabul #1,32724470,1
150,127638,Ibagué #3,32707490,48
151,115825,Santiago de Querétaro #5,32677095,140
152,115821,Zapopan #9,32582030,140
153,148159,São José dos Campos #1,32533004,31
154,126101,Medellín #7,32421096,48
155,106601,Ciudad Juárez #9,32354502,140
156,86303,Praga Południe #2,32257331,175
157,89859,Paris #3,32154763,75
158,90904,Vienna #4,32101245,14
159,102332,Matsue #11,32034740,110
160,102649,Málaga #5,31919646,209
161,146119,Serra #3,31759285,31
162,85780,Berlin #7,31661268,82
163,149182,Santos #1,31591815,31
164,123552,Valencia #2,31587217,241
165,115827,Nicolás Romero #1,31526854,140
166,88845,Wiesbaden #6,31354990,82
167,157358,Buenos Aires #2,31300931,10
168,114289,San Luis Potosí #3,31170820,140
169,116338,Morelia #4,31156898,140
170,103232,Erbil #5,31136074,104
171,86791,Rotterdam #3,31102206,153
172,149156,Salta #5,31097483,10
173,127128,Tunja #3,31072622,48
174,91917,Zürich #4,30944182,215
175,102287,Xining #9,30749508,45
176,96110,Almaty #6,30650386,113
177,115828,Pachuca de Soto #3,30630122,140
178,157872,Montevideo #1,30558376,237
179,100608,Alicante #1,30536612,209
180,149181,Sorocaba #2,30481352,31
181,81719,Elektrostal’ #1,30406136,181
182,84751,Hamburg #5,30276340,82
183,91916,Zürich #3,30185319,215
184,123030,Barranquilla #20,30171740,48
185,115826,Santiago de Querétaro #6,30095164,140
186,101459,San Jose #1,30046072,235
187,103880,Ichihara #1,30035708,110
188,157656,Sydney #19,30020913,13
189,127640,Bogotá #2,30010505,48
190,102719,Erbil #2,29967758,104
191,99119,Ankara #4,29707256,230
192,163993,Puerto Montt #11,29682471,44
193,89865,Metz #3,29597842,75
194,91902,Nantes #9,29520210,75
195,139410,Callao #2,29503568,172
196,113537,Dhaka #1,29441274,18
197,98602,Bursa #2,29410267,230
198,116162,Uruma #117,29382223,110
199,150203,Colombo #3,29356779,31
200,104537,Anaheim #1,29338169,235
201,96009,Marseille #8,29214643,75
202,115001,Jeddah #13,29214233,194
203,101119,Murcia #5,29201752,209
204,123800,Vũng Tàu #1,29184748,242
205,156314,Valparaíso #55,29167790,44
206,150195,Ciudad del Este #8,29129436,171
207,143519,Tacna #4,29127704,172
208,91915,Basel #2,29080198,215
209,103864,Busan #1,29066312,207
210,38595,Ilulissat #2241,29063249,86
211,103874,Kyoto #4,28926794,110
212,136848,Trujillo #7,28849890,172
213,88853,Prague #5,28802429,57
214,123553,Petare #2,28621976,241
215,98036,Porto #3,28540333,176
216,93959,Lyon #6,28440012,75
217,161448,Bahía Blanca #22,28341113,10
218,100595,Lisbon #3,28269522,176
219,95995,Santander #9,28238574,209
220,94236,Anchorage #9956,28178408,235
221,151204,San Miguel de Tucumán #17,28144347,10
222,84264,Minsk #10,28129847,20
223,151739,Florianópolis #5,28122166,31
224,87819,Köln #5,28117899,82
225,89353,Metz #1,28063063,75
226,144034,Cochabamba #6,28051366,26
227,90878,Rennes #6,28019784,75
228,136911,Recife #1,28019699,31
229,102855,Ōta #1,28006429,110
230,132239,Guayaquil #2,27865574,63
231,116856,Veracruz #18,27804630,140
232,86795,Münster #4,27667532,82
233,87314,Halle (Saale) #5,27596554,82
234,88327,Brussels #4,27594752,21
235,95996,Bilbao #9,27473298,209
236,90377,Nancy #1,27388239,75
237,156331,Rosario #7,27310739,10
238,93961,Genève #9,27269356,215
239,90884,Paris #6,27217390,75
240,90371,Saint-Quentin-en-Yvelines #1,27195161,75
241,94471,Saint-Étienne #3,27190965,75
242,87812,Lille #2,27172956,75
243,154789,Córdoba #18,27102827,10
244,121231,Bangkok #1,27094666,220
245,116119,Thanh Hóa #2,27024495,242
246,93448,Genève #6,26872997,215
247,101154,Athens #9,26840975,85
248,131726,Portoviejo #1,26678843,63
249,104695,Rabat #1,26671496,147
250,89869,Stuttgart #3,26600354,82
251,116120,Haiphong #2,26591802,242
252,139412,Huancayo #9,26590075,172
253,175276,Stanley #309,26565853,71
254,81797,Krasnoyarsk #83,26549238,181
255,88324,Lille #3,26535786,75
256,29309,Yellowknife #2853,26515296,40
257,87817,Köln #3,26505085,82
258,119427,San Pedro Sula #1,26464248,97
259,89868,Karlsruhe #4,26389267,82
260,154296,Porto Alegre #5,26362821,31
261,83319,Novosibirsk #79,26358327,181
262,103160,Tangier #3,26333016,147
263,125593,Cúcuta #5,26325766,48
264,157356,José C. Paz #4,26323991,10
265,105206,Casablanca #9,26317594,147
266,114799,León de los Aldama #1,26214081,140
267,157339,Valparaíso #68,26213044,44
268,86292,Berlin #10,26195713,82
269,147651,Nova Iguaçu #1,26172217,31
270,92426,Lausanne #1,26160088,215
271,115313,Santiago de Querétaro #3,26156122,140
272,108643,Hermosillo #22,26138083,140
273,160943,Mar del Plata #14,26134295,10
274,80727,Yekaterinburg #11,26126984,181
275,120962,San Salvador #1,26099644,65
276,106304,Najaf #1,26087598,104
277,106291,Amman #1,26081665,112
278,119934,Quetzaltenango #1,26033750,90
279,82231,Lyubertsy #1,26025100,181
280,159896,Talcahuano #511,26021920,44
281,86812,Łódź #6,25893189,175
282,157851,Rancagua #1,25883177,44
283,98556,Ciudad Lineal #2,25878377,209
284,138421,Sinop #32,25795089,31
285,105279,Baghdad #1,25790513,104
286,97539,Barcelona #1,25666952,209
287,130452,Singapore #1,25614204,199
288,161231,Melbourne #17,25608710,13
289,140436,Huancayo #18,25599521,172
290,140954,Cusco #17,25552635,172
291,119936,Guatemala City #1,25325191,90
292,98089,Bağcılar #1,25307971,230
293,116854,Puebla #3,25283083,140
294,92427,Bern #1,25271249,215
295,123285,Takeo #1,25247298,38
296,100096,Valencia #9,25118182,209
297,148157,Campinas #1,25089297,31
298,135576,Jakarta #1,25086674,102
299,157871,La Plata #1,25064326,10
300,143520,Oruro #5,24992332,26
301,130195,Pasto #5,24988829,48
302,157655,Sydney #18,24947148,13
303,93966,Milan #3,24932637,108
304,116343,Veracruz #13,24929534,140
305,91961,Rostov-na-Donu #4,24810086,181
306,158383,Montevideo #3,24808004,237
307,135823,Chiclayo #11,24803842,172
308,94494,Belgrade #4,24743559,196
309,88348,Kraków #1,24733139,175
310,142524,Brasília #2,24707336,31
311,86287,Hannover #3,24684076,82
312,90380,Karlsruhe #5,24627241,82
313,120961,Santa Ana #2,24594391,65
314,89357,Stuttgart #1,24579494,82
315,95998,Pamplona #1,24565778,209
316,89345,Rouen #5,24563400,75
317,115329,Mérida #56,24547595,140
318,121990,Managua #4,24499738,156
319,87910,Astana #27,24415448,113
320,102838,Daejeon #2,24397110,207
321,86280,Amsterdam #4,24329731,153
322,90891,Strasbourg #4,24321073,75
323,86291,Berlin #9,24317510,82
324,94748,Anchorage #9988,24282791,235
325,149667,Salta #9,24221483,10
326,116855,Veracruz #17,24179027,140
327,101819,Pohang #1,24150808,207
328,91442,Zaporizhzhya #1,24149953,232
329,140490,Salvador #2,24112831,31
330,105591,Dallas #1,24074377,235
331,119194,Huế #7,24071303,242
332,136606,Depok #3,24030811,102
333,105320,Rawalpindi #1,24030736,166
334,90418,Dnipro #2,24012797,232
335,128659,Cali #3,24010428,48
336,84733,Manchester #1,24002342,234
337,87297,London #3,23995895,234
338,120219,Quảng Ngãi #6,23967306,242
339,115095,Bắc Giang #1,23952263,242
340,175277,Stanley #310,23946484,71
341,93446,Saint-Étienne #1,23876828,75
342,104256,Kirkuk #4,23856043,104
343,91918,Sankt Gallen #2,23808356,215
344,146114,Betim #3,23687912,31
345,81215,Nizhniy Novgorod #53,23669495,181
346,100083,Lisbon #1,23660782,176
347,150707,Foz do Iguaçu #2,23659910,31
348,114798,Zapopan #4,23651712,140
349,86318,Homyel' #17,23643247,20
350,109162,Chihuahua #10,23608266,140
351,144038,Santa Cruz de la Sierra #24,23595260,26
352,90905,Bratislava #2,23580492,201
353,88844,Wiesbaden #5,23573102,82
354,82776,Chelyabinsk #7,23477129,181
355,103878,Shizuoka #2,23456857,110
356,89862,Marne La Vallée #4,23432215,75
357,89360,Fürth #1,23377636,82
358,85779,Berlin #6,23352796,82
359,86279,Amsterdam #3,23246898,153
360,99631,Ankara #6,23198914,230
361,124310,Rạch Giá #4,23193953,242
362,84750,Hamburg #4,23144502,82
363,94464,Bordeaux #10,23138302,75
364,81717,Khimki #2,23120446,181
365,148164,Itaboraí #2,23090812,31
366,112557,Taipei #2,23089866,217
367,114293,Tampico #2,23043126,140
368,87823,Erfurt #3,22999087,82
369,87838,Radom #4,22990322,175
370,102856,Utsunomiya #3,22968987,110
371,102195,Adana #5,22962920,230
372,117143,Vinh #1,22913395,242
373,107826,Beersheba #1,22904879,107
374,87828,Dresden #6,22865488,82
375,153272,Caxias do Sul #7,22851301,31
376,127126,Ibagué #1,22795322,48
377,89856,Caen #4,22761976,75
378,101178,Diyarbakır #4,22685701,230
379,94513,Sevastopol #4,22632838,232
380,88884,Kharkiv #4,22577741,232
381,146077,Iquique #10,22574406,44
382,124822,Cà Mau #2,22529047,242
383,76075,Saint Petersburg #17,22514733,181
384,116341,Poza Rica de Hidalgo #5,22449773,140
385,69303,Nuuk #75,22414215,86
386,104384,Himeji #3,22384105,110
387,104388,Hamamatsu #2,22369194,110
388,157852,Rancagua #2,22343859,44
389,86797,Hannover #4,22338647,82
390,158894,La Plata #3,22266310,10
391,98456,Queens #1,22263302,235
392,100275,Pyongyang #1,22185367,161
393,161433,Temuco #8,22160872,44
394,128152,Villavicencio #3,22140878,48
395,90892,Karlsruhe #6,22100413,82
396,144540,Tacna #11,22093635,172
397,98050,Lleida #5,22081532,209
398,158372,Santa Rosa #1,22053469,10
399,120448,Villa Nueva #2,22032301,90
400,105402,Fukuoka #4,22023559,110
401,123041,Caracas #1,22017352,241
402,131729,Ambato #2,22005660,63
403,88347,Katowice #1,21993154,175
404,114287,Aguascalientes #2,21929556,140
405,160410,Los Ángeles #1,21922232,44
406,87827,Dresden #5,21906072,82
407,139925,Huancayo #15,21897638,172
408,99750,Beijing #2,21862238,45
409,151227,Joinville #4,21854748,31
410,114805,Tampico #3,21819606,140
411,114797,Zapopan #3,21811331,140
412,89356,Karlsruhe #2,21793064,82
413,86286,Hannover #2,21761633,82
414,108152,Houston #5,21746206,235
415,86284,Bremen #7,21693736,82
416,175262,Río Gallegos #63,21667186,10
417,147650,Juiz de Fora #5,21664521,31
418,111217,Saltillo #2,21645657,140
419,117890,Belize City #1,21639697,22
420,148668,Itapetininga #2,21613993,31
421,116337,Morelia #3,21611160,140
