rank,regionId,name,pixels
189,113537,Dhaka #1,28730019
190,150203,Colombo #3,28705209
191,91902,Nantes #9,28689990
192,38595,Ilulissat #2241,28677480
193,116162,Uruma #117,28628114
194,115826,Santiago de Querétaro #6,28563979
195,99119,Ankara #4,28539068
196,101119,Murcia #5,28482001
197,123800,Vũng Tàu #1,28459647
198,96009,Marseille #8,28406182
199,115001,Jeddah #13,28209302
200,136848,Trujillo #7,28188130
201,104537,Anaheim #1,27947324
202,144034,Cochabamba #6,27746311
203,123553,Petare #2,27735148
204,103864,Busan #1,27731408
205,88853,Prague #5,27668990
206,98602,Bursa #2,27668151
207,95995,Santander #9,27635903
208,98036,Porto #3,27631875
209,150195,Ciudad del Este #8,27625797
210,91915,Basel #2,27591799
211,93959,Lyon #6,27582618
212,156314,Valparaíso #55,27508815
213,163993,Puerto Montt #11,27479326
214,161448,Bahía Blanca #22,27456386
215,151739,Florianópolis #5,27391131
216,103874,Kyoto #4,27380371
217,90878,Rennes #6,27353936
218,116856,Veracruz #18,27212331
219,84264,Minsk #10,27121293
220,136911,Recife #1,27102383
221,89353,Metz #1,27041689
222,100595,Lisbon #3,26978744
223,132239,Guayaquil #2,26963882
224,90377,Nancy #1,26710131
225,87314,Halle (Saale) #5,26709213
226,88327,Brussels #4,26675541
227,121231,Bangkok #1,26608517
228,116119,Thanh Hóa #2,26599746
229,156331,Rosario #7,26597402
230,87812,Lille #2,26579521
231,93961,Genève #9,26560995
232,87819,Köln #5,26515255
233,154789,Córdoba #18,26465186
234,102855,Ōta #1,26410740
235,95996,Bilbao #9,26350791
236,139412,Huancayo #9,26347340
237,151204,San Miguel de Tucumán #17,26345942
238,29309,Yellowknife #2853,26345533
239,90371,Saint-Quentin-en-Yvelines #1,26252558
240,154296,Porto Alegre #5,26051614
241,81797,Krasnoyarsk #83,26031106
242,157356,José C. Paz #4,25968996
243,125593,Cúcuta #5,25913447
244,80727,Yekaterinburg #11,25858491
245,94471,Saint-Étienne #3,25822111
246,90884,Paris #6,25819563
247,119427,San Pedro Sula #1,25809221
248,116120,Haiphong #2,25802775
249,175276,Stanley #309,25798921
250,147651,Nova Iguaçu #1,25765084
251,88324,Lille #3,25736745
252,93448,Genève #6,25696381
253,89869,Stuttgart #3,25659855
254,86795,Münster #4,25653371
255,108643,Hermosillo #22,25630094
256,83319,Novosibirsk #79,25613256
257,120962,San Salvador #1,25526899
258,157339,Valparaíso #68,25487220
259,106291,Amman #1,25473654
260,160943,Mar del Plata #14,25432781
261,87817,Köln #3,25404712
262,140436,Huancayo #18,25367889
263,82231,Lyubertsy #1,25332385
264,138421,Sinop #32,25331964
265,115313,Santiago de Querétaro #3,25289037
266,131726,Portoviejo #1,25242930
267,104290,Kabul #1,25114687
268,140954,Cusco #17,25058236
269,92426,Lausanne #1,25021114
270,89868,Karlsruhe #4,25002528
271,143519,Tacna #4,24996548
272,123285,Takeo #1,24846118
273,119934,Quetzaltenango #1,24842337
274,114799,León de los Aldama #1,24832718
275,104695,Rabat #1,24748587
276,130195,Pasto #5,24716323
277,161231,Melbourne #17,24702738
278,157871,La Plata #1,24697502
279,97539,Barcelona #1,24697099
280,103160,Tangier #3,24690877
281,130452,Singapore #1,24682977
282,86292,Berlin #10,24593329
283,92427,Bern #1,24582581
284,105279,Baghdad #1,24525914
285,100096,Valencia #9,24482959
286,159896,Talcahuano #511,24447444
287,119936,Guatemala City #1,24434530
288,98089,Bağcılar #1,24359556
289,116343,Veracruz #13,24321383
290,157851,Rancagua #1,24298832
291,116854,Puebla #3,24236058
292,91961,Rostov-na-Donu #4,24206486
293,106304,Najaf #1,24195955
294,105206,Casablanca #9,24132272
295,135823,Chiclayo #11,24116815
296,93966,Milan #3,24105547
297,115329,Mérida #56,24104162
298,148157,Campinas #1,24030855
299,142524,Brasília #2,24020065
300,158383,Montevideo #3,24011352
301,135576,Jakarta #1,23993056
302,121990,Managua #4,23982119
303,128659,Cali #3,23895821
304,98556,Ciudad Lineal #2,23868439
305,94494,Belgrade #4,23842598
306,91442,Zaporizhzhya #1,23838801
307,157655,Sydney #18,23805539
308,90380,Karlsruhe #5,23804682
309,86812,Łódź #6,23788383
310,88348,Kraków #1,23771164
311,101154,Athens #9,23726431
312,90418,Dnipro #2,23691907
